"","V1","V2","geometry"
"1","48.8515313627","2.63775356847","c(48.8515313627, 2.63775356847)"
"2","48.839179854","2.63877127865","c(48.839179854, 2.63877127865)"
"3","48.8516342568","2.62146597068","c(48.8516342568, 2.62146597068)"
"4","48.9135017218","2.48226363192","c(48.9135017218, 2.48226363192)"
"5","48.9943877703","2.52362352497","c(48.9943877703, 2.52362352497)"
"6","48.8874368425","2.32572522202","c(48.8874368425, 2.32572522202)"
"7","48.8560221346","2.62439108407","c(48.8560221346, 2.62439108407)"
"8","48.8531015853","2.28119812413","c(48.8531015853, 2.28119812413)"
"9","49.0025920263","2.53500338209","c(49.0025920263, 2.53500338209)"
"10","48.8439446688","2.6273607976","c(48.8439446688, 2.6273607976)"
"11","48.8556808082","2.42365908548","c(48.8556808082, 2.42365908548)"
"12","48.839204777","2.26118468122","c(48.839204777, 2.26118468122)"
"13","49.0115279147","2.53289278962","c(49.0115279147, 2.53289278962)"
"14","48.8540432485","2.48855301402","c(48.8540432485, 2.48855301402)"
"15","48.8871681374","2.17062337828","c(48.8871681374, 2.17062337828)"
"16","48.8427324129","2.22204577446","c(48.8427324129, 2.22204577446)"
"17","48.8499269224","2.58512265305","c(48.8499269224, 2.58512265305)"
"18","48.9442569548","2.56685575102","c(48.9442569548, 2.56685575102)"
"19","48.8661864793","2.52553307382","c(48.8661864793, 2.52553307382)"
"20","48.9173282076","2.5226235575","c(48.9173282076, 2.5226235575)"
"21","48.8665307864","2.52941680749","c(48.8665307864, 2.52941680749)"
"22","48.8784242538","2.61448648445","c(48.8784242538, 2.61448648445)"
"23","48.8760678144","2.32418810077","c(48.8760678144, 2.32418810077)"
"24","48.9351859462","2.53343644261","c(48.9351859462, 2.53343644261)"
"25","48.8675044158","2.53309862746","c(48.8675044158, 2.53309862746)"
"26","48.8470118402","2.32705511136","c(48.8470118402, 2.32705511136)"
"27","48.6976016469","2.18207974855","c(48.6976016469, 2.18207974855)"
"28","48.9107252129","2.47425249605","c(48.9107252129, 2.47425249605)"
"29","48.8531275263","2.5139365663","c(48.8531275263, 2.5139365663)"
"30","48.8615601956","2.57906221629","c(48.8615601956, 2.57906221629)"
"31","48.8583164334","2.53482098786","c(48.8583164334, 2.53482098786)"
"32","48.9018999167","2.4141119526","c(48.9018999167, 2.4141119526)"
"33","48.8759533188","2.58997504893","c(48.8759533188, 2.58997504893)"
"34","48.743321141","2.2964154671","c(48.743321141, 2.2964154671)"
"35","48.8628280935","2.54539505738","c(48.8628280935, 2.54539505738)"
"36","48.9107252129","2.47425249605","c(48.9107252129, 2.47425249605)"
"37","48.8584652867","2.52041092773","c(48.8584652867, 2.52041092773)"
"38","48.815249979","2.34092917753","c(48.815249979, 2.34092917753)"
"39","48.8773530953","2.34938142395","c(48.8773530953, 2.34938142395)"
"40","48.8514854286","2.3622178642","c(48.8514854286, 2.3622178642)"
"41","48.873694447","2.53982533027","c(48.873694447, 2.53982533027)"
"42","48.8546420474","2.38503219333","c(48.8546420474, 2.38503219333)"
"43","48.8759533188","2.58997504893","c(48.8759533188, 2.58997504893)"
"44","48.8711798945","2.22438037987","c(48.8711798945, 2.22438037987)"
"45","48.84406453","2.44052459363","c(48.84406453, 2.44052459363)"
"46","48.9240234349","2.38440066469","c(48.9240234349, 2.38440066469)"
"47","48.8781808515","2.59059907073","c(48.8781808515, 2.59059907073)"
"48","48.8963096483","2.37833712242","c(48.8963096483, 2.37833712242)"
"49","48.8470289907","2.45190119195","c(48.8470289907, 2.45190119195)"
"50","48.8463629755","2.28563106588","c(48.8463629755, 2.28563106588)"
"51","48.8649024159","2.36753701348","c(48.8649024159, 2.36753701348)"
"52","48.8266021651","2.38173944207","c(48.8266021651, 2.38173944207)"
"53","48.8533976866","2.48733901454","c(48.8533976866, 2.48733901454)"
"54","49.0029403412","2.56165282155","c(49.0029403412, 2.56165282155)"
"55","48.8571442392","2.53168385674","c(48.8571442392, 2.53168385674)"
"56","48.8273539311","2.1889336148","c(48.8273539311, 2.1889336148)"
"57","48.8524795251","2.45685694884","c(48.8524795251, 2.45685694884)"
"58","49.0104023187","2.5598819987","c(49.0104023187, 2.5598819987)"
"59","48.8468487689","2.31693731083","c(48.8468487689, 2.31693731083)"
"60","48.8264755631","2.34212784589","c(48.8264755631, 2.34212784589)"
"61","48.8584205955","2.48092462601","c(48.8584205955, 2.48092462601)"
"62","48.8469925009","2.31654234477","c(48.8469925009, 2.31654234477)"
"63","48.8480129358","2.4371416078","c(48.8480129358, 2.4371416078)"
"64","48.9110730865","2.38466156778","c(48.9110730865, 2.38466156778)"
"65","48.8702968538","2.48507189792","c(48.8702968538, 2.48507189792)"
"66","48.8405677262","2.32640281522","c(48.8405677262, 2.32640281522)"
"67","48.8511938192","2.39823914082","c(48.8511938192, 2.39823914082)"
"68","48.8929886826","2.36308289502","c(48.8929886826, 2.36308289502)"
"69","48.8727860166","2.48533785776","c(48.8727860166, 2.48533785776)"
"70","48.9206455953","2.18441175535","c(48.9206455953, 2.18441175535)"
"71","48.8481010566","2.4392116953","c(48.8481010566, 2.4392116953)"
"72","48.8478082535","2.26505313741","c(48.8478082535, 2.26505313741)"
"73","48.8442170813","2.44079723454","c(48.8442170813, 2.44079723454)"
"74","48.8531609882","2.45842472981","c(48.8531609882, 2.45842472981)"
"75","48.838778696","2.46062407189","c(48.838778696, 2.46062407189)"
"76","48.8822751543","2.36645701484","c(48.8822751543, 2.36645701484)"
"77","48.8479958838","2.44633362612","c(48.8479958838, 2.44633362612)"
"78","48.8705592165","2.33255448205","c(48.8705592165, 2.33255448205)"
"79","48.9327098091","2.45510534517","c(48.9327098091, 2.45510534517)"
"80","48.8639874755","2.21281728742","c(48.8639874755, 2.21281728742)"
"81","48.8485092998","2.45460082595","c(48.8485092998, 2.45460082595)"
"82","48.8481112316","2.3980040128","c(48.8481112316, 2.3980040128)"
"83","48.8397141743","2.52245516463","c(48.8397141743, 2.52245516463)"
"84","48.880801996","2.36321308742","c(48.880801996, 2.36321308742)"
"85","48.8533976866","2.48733901454","c(48.8533976866, 2.48733901454)"
"86","48.850164936","2.44293358154","c(48.850164936, 2.44293358154)"
"87","48.7346947445","2.37057285408","c(48.7346947445, 2.37057285408)"
"88","48.9044996155","2.30497246868","c(48.9044996155, 2.30497246868)"
"89","48.8468359163","2.43673081491","c(48.8468359163, 2.43673081491)"
"90","48.8535999079","2.34399624109","c(48.8535999079, 2.34399624109)"
"91","48.8683382789","2.35386134295","c(48.8683382789, 2.35386134295)"
"92","48.8352733908","2.23249105514","c(48.8352733908, 2.23249105514)"
"93","48.8558213547","2.52718431831","c(48.8558213547, 2.52718431831)"
"94","48.863089135","2.28684037849","c(48.863089135, 2.28684037849)"
"95","48.9379530096","2.15762327036","c(48.9379530096, 2.15762327036)"
"96","48.8943090945","2.36613667569","c(48.8943090945, 2.36613667569)"
"97","48.8151144398","2.41851531673","c(48.8151144398, 2.41851531673)"
"98","48.8473463092","2.47476599241","c(48.8473463092, 2.47476599241)"
"99","48.9276285017","2.21570583273","c(48.9276285017, 2.21570583273)"
"100","48.8853963165","2.32192355669","c(48.8853963165, 2.32192355669)"
"101","48.8760666877","2.35821026231","c(48.8760666877, 2.35821026231)"
"102","48.8410253553","2.28792386733","c(48.8410253553, 2.28792386733)"
"103","48.8791639524","2.27912603854","c(48.8791639524, 2.27912603854)"
"104","48.896415583","2.3381542997","c(48.896415583, 2.3381542997)"
"105","48.9386453703","2.17025309585","c(48.9386453703, 2.17025309585)"
"106","48.8565534153","2.44473083212","c(48.8565534153, 2.44473083212)"
"107","48.8919206223","2.24291207422","c(48.8919206223, 2.24291207422)"
"108","48.7435945854","2.36491132421","c(48.7435945854, 2.36491132421)"
"109","48.9448926641","2.17788686714","c(48.9448926641, 2.17788686714)"
"110","48.7966012976","2.44953152438","c(48.7966012976, 2.44953152438)"
"111","48.7280580737","2.27379245776","c(48.7280580737, 2.27379245776)"
"112","48.7349642901","2.37093990918","c(48.7349642901, 2.37093990918)"
"113","48.9231636757","2.21736646243","c(48.9231636757, 2.21736646243)"
"114","48.7897243161","2.45083610639","c(48.7897243161, 2.45083610639)"
"115","48.8903740812","2.35979700867","c(48.8903740812, 2.35979700867)"
"116","48.9000569513","2.24672772174","c(48.9000569513, 2.24672772174)"
"117","48.8953965065","2.24023420654","c(48.8953965065, 2.24023420654)"
"118","48.8597576573","2.51568901677","c(48.8597576573, 2.51568901677)"
"119","48.8914993838","2.40312496066","c(48.8914993838, 2.40312496066)"
"120","48.9331056831","2.30698702972","c(48.9331056831, 2.30698702972)"
"121","48.9440034609","2.18514774397","c(48.9440034609, 2.18514774397)"
"122","48.8311395071","2.32399521165","c(48.8311395071, 2.32399521165)"
"123","48.7809253911","2.33471143032","c(48.7809253911, 2.33471143032)"
"124","48.8714399763","2.33259527423","c(48.8714399763, 2.33259527423)"
"125","48.7048739726","2.31590632544","c(48.7048739726, 2.31590632544)"
